"wdpaid","wdpa_pid","name","iso3","country","2004","2005","2006","2007","2008","2010","2011","2012","2013","2014","2015","2016","2017"
763,"763","Kisite","KEN","Kenya",28,28,11,11,28,28,28,28,28,28,28,28,28
765,"765","Mallindi","KEN","Kenya",6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6
766,"766","Hallyeohaesang","KOR","Republic of Korea",510.32,510.32,510.32,478,545.63,392.8536,545.63,545.63,545.63,545.63,408.488,408.488,408.488
772,"772","Gyeongju","KOR","Republic of Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
778,"778","Kouf","LBY","Libya",350,350,350,350,350,NA,NA,NA,NA,NA,NA,NA,NA
783,"783","Semporna","MYS","Malaysia",NA,NA,11.08,11.08,11.08,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88
784,"784","Samunsam","MYS","Malaysia",60.9,60.9,65.26,65.26,60.9,0.01,0.01,0.01,0.01,0.01,NA,NA,NA
786,"786","Similajau","MYS","Malaysia",70.67,70.67,NA,NA,89.96,2,2,2,2,2,2,2,2
788,"788","Klias","MYS","Malaysia",36.3,36.3,35.96,35.96,35.96,NA,NA,NA,NA,NA,NA,NA,NA
789,"789","Pulau Tiga","MYS","Malaysia",158.64,158.64,158.64,158.64,158.64,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86
790,"790","Tunku Abdul Rahman","MYS","Malaysia",49.29,49.29,12.34,12.34,12.34,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
792,"792","Bako","MYS","Malaysia",27.28,27.28,34.7,34.7,34.7,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06
793,"793","Turtle Islands Park","MYS","Malaysia",17.4,17.4,17.4,17.4,17.4,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
797,"797","Banc d'Arguin","MRT","Mauritania",11730,11730,11730,12000,12075,6245,6245,6245,6245,6245,6245,6245,6245
802,"802","Bazaruto","MOZ","Mozambique",NA,NA,NA,NA,1430,1274,1274,1274,1274,1274,1274,1274,1274
808,"808","Fiordland","NZL","New Zealand",12570,12570,12570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
